,content,polarity
15,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
16,EXCELENTE! Así sería @Congreso_Es si aplicara #ReformaLaboral a l@s q la aprobaron https://t.co/DXWjVoY5Rw @lamarea_com @SindyCales #España,1
17,#ReformaLaboral #Exclavitud https://t.co/0WtTMbqEJv,1
18,#ReformaLaboral #Exclavitud https://t.co/evJqqLBl27,1
19,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
20,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
21,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
22,RT @levante_emv: OPINIÓN | Pelos de punta https://t.co/vpo3WWSdwp #reformalaboral por @JuanJoseMillas,1
23,@EnricBCNcat @miriamnoguerasM   Doncs mira la #ReformaLaboral la va aprovar el #PP amb el recolzament de #CiU   #CanviDeNomIProu,1
24,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
25,#reformalaboral #ReformaEducativa  echa la hueva y el gobierno te paga y con intereses. @osoriochong @aurelionuno @EPN @CNTEMX,1
26,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
27,RT @NOalPlanLaboral: @clarypm @ARecuperarLaCUT @clodette_munoz @Cutchile  Lo q realmente representa #ReformaLaboral para l@s trabajador@s…,0
28,RT @NOalPlanLaboral: @clarypm @ARecuperarLaCUT @clodette_munoz @Cutchile  Lo q realmente representa #ReformaLaboral para l@s trabajador@s…,0
29,#FortApache - La #reformalaboral incendia #Francia https://t.co/EEd3YafaBH,0
30,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
31,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
32,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
33,RT @levante_emv: OPINIÓN | Pelos de punta https://t.co/vpo3WWSdwp #reformalaboral por @JuanJoseMillas,1
34,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
35,OPINIÓN | Pelos de punta https://t.co/vpo3WWSdwp #reformalaboral por @JuanJoseMillas,1
36,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
37,#España: Industria #automoción supone ya 8.7% del PIB y 9% del #empleo. Sector pujante gracias a #reformalaboral   https://t.co/Yoh85MV8bT,1
38,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
39,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
40,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
41,"@clarypm @ARecuperarLaCUT @clodette_munoz @Cutchile  Lo q realmente representa #ReformaLaboral para l@s trabajador@s  ""RE-TRO-CE-SOS""",0
42,RT @radioamlo: Javier Lozano promotor de la #ReformaLaboral se suma Vs la #CNTE https://t.co/TB8kTYJdCI,1
43,RT @clodette_munoz: @clarypm @ARecuperarLaCUT @Mars_Voltiano @Cutchile  No estamos confundidos #ReformaLaboral profundizó PLaboral d Dictad…,1
44,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
45,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
46,@ARecuperarLaCUT @clodette_munoz @clarypm @Cutchile  #ReformaLaboral #LeyDeRetrocesos,1
47,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
48,RT @clodette_munoz: @clarypm @ARecuperarLaCUT @Mars_Voltiano @Cutchile  No estamos confundidos #ReformaLaboral profundizó PLaboral d Dictad…,1
49,#ReformaEducativa #Reformalaboral @SCJN @ONU_es @ONUHumanRights @ONU_derechos  @senadomexicano @Mx_Diputados https://t.co/WZr3WvDYGv,1
50,@clarypm @ARecuperarLaCUT @Mars_Voltiano @Cutchile  No estamos confundidos #ReformaLaboral profundizó PLaboral d Dictadura y Cut lo permitió,1
51,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
52,RT @clodette_munoz: #ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https:…,1
53,#ReformaLaboral #NoMasAFPs Obra de @josepinera en dictadura para aplastar a trabajador@s #10AgostoCaceroleo21hrs https://t.co/13p6yvmk1o,1
54,RT @radioamlo: Javier Lozano promotor de la #ReformaLaboral se suma Vs la #CNTE https://t.co/TB8kTYJdCI,1
55,RT @vikos1966: @JLozanoA  promotor d la #ReformaLaboral s+ Vs la #CNTE espero k este en primera fila o se escuda detrás d ls faldas https:/…,1
56,@JLozanoA  promotor d la #ReformaLaboral s+ Vs la #CNTE espero k este en primera fila o se escuda detrás d ls faldas https://t.co/ycbhm59pG2,0
57,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
58,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
59,Javier Lozano promotor de la #ReformaLaboral se suma Vs la #CNTE https://t.co/TB8kTYJdCI,1
60,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
61,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
62,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
63,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
64,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
65,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
66,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
67,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
68,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
69,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
70,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
71,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
72,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
73,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
74,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
75,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
76,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
77,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
78,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
79,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
80,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
81,RT @anemamil: Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZG…,1
82,Evolució dels salaris a Espanya durant els darrers 10 anys. #reformalaboral #minijobs #anemperfeina #anemamil https://t.co/ZGf9m0Yo81,1
83,@RDiezYague @elmundobaleares DEROGANT la #reformalaboral del PP?,1
84,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
85,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
86,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
87,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
88,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
89,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
90,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
91,#reformaenergetica #ReformaEducativa #Reformalaboral @NTelevisa_com @Milenio @SEGOB_mx @Mx_Diputados @ClaudioXGG https://t.co/ckvNykoNPI,1
92,#reformaenergetica #ReformaEducativa #Reformalaboral @NTelevisa_com @Milenio @SEGOB_mx @Mx_Diputados @ClaudioXGG https://t.co/PsH5BjFba7,1
93,#reformaenergetica #ReformaEducativa #Reformalaboral @NTelevisa_com @Milenio @SEGOB_mx @Mx_Diputados https://t.co/fZhJm6GvPT,1
94,#Reformalaboral #ReformaEducativa  @SCJN @ClaudioXGG @SEGOB_mx @Mx_Diputados @senadomexicano @AristeguiOnline https://t.co/E7ppCrpMdi,1
95,#Reformalaboral @JLozanoA #ReformaEducativa @aurelionuno @CNTEInternal   #ReformaJusticiaGT @PoliciaFedMx https://t.co/iisqRWx4ep,1
96,#Reformalaboral #ReformaEducativa @Mzavalagc @PartidoAccionN @JLozanoA @RicardoAnayaC @rgilzuarth @wikileaks https://t.co/4jDwrqjVYW,1
97,RT @clodette_munoz: X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT ht…,1
98,X Rechazo Total #ReformaLaboral y Salario Min.d hambre junto @FrenteTrabajoRD @CabreadosChile vamos @ARecuperarLaCUT https://t.co/dLs2TXtGyR,0
99,RT @NOalPlanLaboral: Organizaciones q son parte d Agrupación y críticas d #ReformaLaboral Antisindical van a la CUT X #NoAlPlanLaboral http…,1
100,RT @NOalPlanLaboral: Organizaciones q son parte d Agrupación y críticas d #ReformaLaboral Antisindical van a la CUT X #NoAlPlanLaboral http…,1
101,Organizaciones q son parte d Agrupación y críticas d #ReformaLaboral Antisindical van a la CUT X #NoAlPlanLaboral https://t.co/AfRmbDuYvw,0
102,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
103,RT @plazaro67: La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
104,#ReformaEducativa o #ReformaLaboral para los maestros que no se suman – unomásuno - https://t.co/QJBgIryHJt,1
105,#reformaenergetica #ReformaEducativa #Reformalaboral @NTelevisa_com @Milenio @SEGOB_mx @Mx_Diputados @ClaudioXGG https://t.co/GndByOd3fn,1
106,#Reformalaboral #ReformaEducativa  @SCJN @ClaudioXGG @SEGOB_mx @Mx_Diputados @senadomexicano @AristeguiOnline https://t.co/RS1JbROjdJ,1
107,#Reformalaboral #ReformaEducativa @ClaudioXGG @Mexicanos1oSin  @Mx_Diputados @JohnMAckerman @SEGOB_mx @aristeguicnn https://t.co/RQEEOVvnnT,1
108,@PikoSarinana @aglae_arellano @jenarovillamil  @ClaudioXGG @Mexicanos1o #ReformaEducativa #Reformalaboral https://t.co/PTBrwyarEg,1
109,@PikoSarinana @jenarovillamil y no sólo lo siento de ellos #Reformalaboral #reformaenergetica @ClaudioXGG https://t.co/QdF6sf8NC1,0
110,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
111,#Reformalaboral @JLozanoA #ReformaEducativa @aurelionuno @CNTEInternal   #ReformaJusticiaGT @PoliciaFedMx https://t.co/5fhmT7KrUJ,1
112,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
113,RT @plazaro67: La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
114,Potser sigui aquest el camí que ens imposi la Troika amb la pròxima #ReformaLaboral #QueTreballiElRei https://t.co/BrjO4cHMKO,0
115,#Reformalaboral #ReformaEducativa @Mzavalagc @PartidoAccionN @JLozanoA @RicardoAnayaC @rgilzuarth @wikileaks https://t.co/OzPspxkGFI,1
116,@Rover_Tokano @ElInformanteMX yo creo que es un mínimo %de lo que le tocó #Reformalaboral esa es @PartidoAccionN https://t.co/L7LuN1B5Jo,1
117,@thebishop092007 @ElInformanteMX de la #Reformalaboral propuso como siempre a favor de los empresarios. @JLozanoA https://t.co/qAKC3BguZp,1
118,@ElInformanteMX @JLozanoA @PartidoAccionN @RicardoAnayaC @rgilzuarth #Reformalaboral #ReformaEducativa @wikileaks https://t.co/IRnVYK2GAL,1
119,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
120,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
121,RT @podemosalicante: #ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https:/…,1
122,RT @plazaro67: La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
123,RT @plazaro67: La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
124,#ExplotaciónLaboral #ReformaLaboral #SanidadPública  Quieren acabar con lo público :(  https://t.co/kHP7e2Jb2O https://t.co/qdE59a5Y3Q,1
125,RT @RialMedina: Gobierno francés se salta el voto de la Asamblea para imponer la #reformalaboral https://t.co/emcGWwudD3,1
126,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
127,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
128,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
129,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
130,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
131,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
132,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
133,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
134,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
135,RT @VeuCat: A mi de Convergència qui més m'agrada és @gabrielrufian #JuntsPelSí #ReformaLaboral #EuroPerRecepta #Juntsx3perCent https://t.c…,1
136,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
137,RT @forregob: #ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
138,#ReformaLaboral alcanza un un histórico rechazo de 61% según @Adimark_Innova. #Adimark https://t.co/TBtdTlhiiM,0
139,RT @plazaro67: La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
140,La mejor explicación que he visto de la #reformalaboral y el mercado laboral de #España #paro #empleo https://t.co/h1NFGIZbLI,1
141,RT @VeuCat: A mi de Convergència qui més m'agrada és @gabrielrufian #JuntsPelSí #ReformaLaboral #EuroPerRecepta #Juntsx3perCent https://t.c…,1
142,@AtTimesMX  @Mzavalagc @FelipeCalderon @RicardoAnayaC  #ReformaEducativa  #guarderiaabc #Reformalaboral @wikileaks https://t.co/agAsppoQK2,1
143,@AtTimesMX @Mzavalagc @FelipeCalderon @JLozanoA  @RicardoAnayaC #guarderiaabc #Reformalaboral #ReformaEducativa https://t.co/vnNYPot7ex,1
144,"RT @Susanna8138: ""Por encima de mi dignidad, solo estan el benestar de mis hijos"" és metge @Mireia888 la #reformalaboral és això! https://t…",0
145,"""Por encima de mi dignidad, solo estan el benestar de mis hijos"" és metge @Mireia888 la #reformalaboral és això! https://t.co/8r9iJOOUJt",0
146,"RT @Gorrinogolzarri: 1Pena,yaNO Msorprende: CCOOrrUGTcion #ReformaLaboral @Sagardoy @tribunalsupremo @PPopular @Psoe #BankiaIncumpleEre htt…",1
147,RT @Gorrinogolzarri: Q @Sagardoy @tribunalsupremo ¿Cómo arreglamos? ¿Otra #ReformaLaboral maltratando trabajadorxs? #BankiaIncumpleEre http…,1
148,RT @Gorrinogolzarri: Esto @PPopular @PSOE @CCOO @UGT_Comunica Conseguís X #ReformaLaboral #Eres #BankiaIncumpleEre @ugtbankia @CCOOBankia h…,1
149,RT @d_lozano: Rechazo a #ReformaLaboral llega a máximo histórico del 62% #Cadem vía @forregob https://t.co/mOTeiX0uc9 https://t.co/jGB7cf5h…,0
150,RT @d_lozano: Rechazo a #ReformaLaboral llega a máximo histórico del 62% #Cadem vía @forregob https://t.co/mOTeiX0uc9 https://t.co/jGB7cf5h…,0
151,Rechazo a #ReformaLaboral llega a máximo histórico del 62% #Cadem vía @forregob https://t.co/mOTeiX0uc9 https://t.co/jGB7cf5hTJ,0
152,¡¡¡ Dando alas a la @CEOE_ES para retroalimentar la #ReformaLaboral !!! https://t.co/YIAvv36lw7,1
153,RT @EstherCld: PP + C's de acuerdo en ningún cambio #reformalaboral #LeyMordaza #LeyWert ... acuerdo en política económica Mejor nuevas ele…,1
154,PP + C's de acuerdo en ningún cambio #reformalaboral #LeyMordaza #LeyWert ... acuerdo en política económica Mejor nuevas elecciones SOS,1
155,"RT @clodette_munoz: Desafios d la #ReformaLaboral""Recuperar Espacios""será un trabajo a Med. y largo plazo + allá dl proceso eleccionario ht…",1
156,Wow esto es #MoverAMexico @EPN ??? O tu verdadera #reformaLaboral https://t.co/ggRDu2joSe,1
157,"RT @JaumeMayor: Felipe González sobre la financiación ilegal del PP, el borrado de discos duros, la Ley Mordaza y la #ReformaLaboral https:…",1
158,"RT @PSOEmalaga: .@MAHerediaDiaz: ""La #reformalaboral de Rajoy se carga el futuro de las pensiones de nuestro país"" c/ @FESPUGTMalaga https:…",1
159,"#ReformaLaboral:la nueva obsesión del Gobierno y los grandes medios""",1
160,Gobierno francés se salta el voto de la Asamblea para imponer la #reformalaboral https://t.co/emcGWwudD3,1
161,RT @lombroso85: En julio se crean 83.993 empleos y hay 84.721 nuevas altas a la Seguridad Social...es obvio que no funciona la #ReformaLabo…,1
162,RT @Asexma: Desayuno Gremial: Empresarios socios de @Asexma discuten el impacto de la #ReformaLaboral en las #pymes https://t.co/KDcQ9wRiiC,1
163,Desayuno Gremial: Empresarios socios de @Asexma discuten el impacto de la #ReformaLaboral en las #pymes https://t.co/KDcQ9wRiiC,1
164,En julio se crean 83.993 empleos y hay 84.721 nuevas altas a la Seguridad Social...es obvio que no funciona la #ReformaLaboral ¿o SÍ?,1
165,RT @bernat551: Ser niño es cosa de adultos. Cuando la crisis solo te permite vivir con tus padres. https://t.co/2N3CETC3P2 @elmundoes #Refo…,0
166,"Precarización y #reformalaboral. Caen las indemnizaciones por #despido. https://t.co/gdN766QAA2, en @elespanolcom (vía @abogados). #Empleo",0
167,@MAHP1804 @soyNorma__ @Dinorita @yimboroyimboro @chihuastequiero @cardenascjcg A la burocracia se les debe aplicar ajustes d #ReformaLaboral,0
168,Y los ciudadanos ¿podemos hacer una demanda colectiva contra empresarios? #CNTE #ReformaLaboral #AltosPrecios #CCE,1
169,RT @lalo0095: @LuchadorMex @EscuelasJodidas @SEP_mx La #ReformaEducativa es en realidad #ReformaLaboral ASI la avalaron #PRIANRD https://t.…,1
170,RT @lalo0095: @LuchadorMex @EscuelasJodidas @SEP_mx La #ReformaEducativa es en realidad #ReformaLaboral ASI la avalaron #PRIANRD https://t.…,1
171,@LuchadorMex @EscuelasJodidas @SEP_mx La #ReformaEducativa es en realidad #ReformaLaboral ASI la avalaron #PRIANRD https://t.co/feXGtqz4v2,0
172,RT @bernat551: Ser niño es cosa de adultos. Cuando la crisis solo te permite vivir con tus padres. https://t.co/2N3CETC3P2 @elmundoes #Refo…,0
173,"RT @soyzen: ¿Qué salario pagan empleos con contrato de #ReformaLaboral? De cada 100 empleos flexibles, 86 pagan menos de $7,000 https://t.c…",0
174,RT @bernat551: Ser niño es cosa de adultos. Cuando la crisis solo te permite vivir con tus padres. https://t.co/2N3CETC3P2 @elmundoes #Refo…,0
175,#LeyMordaza #PaPelesdeBárcenas #LOMCE #ReformaLaboral... #FernándezDíaz #Wert #Gallardón #Soria #Mato... ¿Y tenemos que apoyar esto? #NOesNO,1
176,"@LeoBerrezueta: tras #ReformaLaboral, 9.314 personas se acogieron a #SeguroDesempleo; 1.500, a jornada prolongada y 500, a jornada reducida",1
177,"Opinión - 02/08/2016 - Juan Carlos Eichholz, profesor UAI  Productividad e innovación: Uber vs la #ReformaLaboral... https://t.co/npWkrUkuaX",1
178,"RT @soyzen: ¿Qué salario pagan empleos con contrato de #ReformaLaboral? De cada 100 empleos flexibles, 86 pagan menos de $7,000 https://t.c…",0
179,El verdugo - Peri&amp;Atilde;&amp;sup3;dico Diagonal https://t.co/pTmlZC0Lsv #Paro #TrabajoBasura #ReformaLaboral #HumorGráfico #HumorNegro,1
180,"¿Qué salario pagan empleos con contrato de #ReformaLaboral? De cada 100 empleos flexibles, 86 pagan menos de $7,000 https://t.co/JvfwTIqYdP",0
181,RT @NOalPlanLaboral: El.sueño de Recabarren se convirtió en pesadilla con la #ReformaLaboral d la @NuevaMayoriacl y apoyo d la @Cutchile ht…,1
182,#ReformaLaboral #CNT  #Hostelería: los #trabajadores más baratos y el #fraude más alto https://t.co/BPntinP2gw,1
183,"Desafios d la #ReformaLaboral""Recuperar Espacios""será un trabajo a Med. y largo plazo + allá dl proceso eleccionario https://t.co/EwDksEVTM1",0
184,RT @NOalPlanLaboral: El.sueño de Recabarren se convirtió en pesadilla con la #ReformaLaboral d la @NuevaMayoriacl y apoyo d la @Cutchile ht…,1
185,El.sueño de Recabarren se convirtió en pesadilla con la #ReformaLaboral d la @NuevaMayoriacl y apoyo d la @Cutchile https://t.co/KTRFGkLFox,1
186,RT @bernat551: Ser niño es cosa de adultos. Cuando la crisis solo te permite vivir con tus padres. https://t.co/2N3CETC3P2 @elmundoes #Refo…,0
187,"Bienvenido agosto, bienvenido al #paro #ReformaLaboral @PPopular",1
188,#TrabajoTemporal #ReformaLaboral https://t.co/gxfyKtyo6T,1
189,#TrabajoTemporal #ReformaLaboral https://t.co/4Uh5LV3ggf,1
